GAME_DATE,GAME_ID,MATCHUP,HOME_TEAM,AWAY_TEAM,HOME_PREV_SEAS_WIN_PERC,HOME_PREV_SEAS_AVG_PTS_PER_GAME,HOME_PREV_SEAS_FG_PERC,HOME_PREV_SEAS_THREE_PERC,HOME_PREV_SEAS_FREE_THROW_PERC,HOME_PREV_SEAS_PLUS_MINUS,AWAY_PREV_SEAS_WIN_PERC,AWAY_PREV_SEAS_AVG_PTS_PER_GAME,AWAY_PREV_SEAS_FG_PERC,AWAY_PREV_SEAS_THREE_PERC,AWAY_PREV_SEAS_FREE_THROW_PERC,AWAY_PREV_SEAS_PLUS_MINUS,HOME_WIN
11/8/2013,21300073,NYK @ CHA,CHA,NYK,0.256,93.4,42.5,33.5,75,-9.2,0.659,100,44.8,37.6,75.9,4.2,0
11/8/2013,21300083,DEN @ PHX,PHX,DEN,0.305,95.2,44.3,33,74.4,-6.5,0.695,106.1,47.8,34.3,70.1,5.1,1
11/9/2013,21300093,POR @ SAC,SAC,POR,0.341,100.2,44.7,36.3,76.9,-4.9,0.402,97.5,44.8,35.3,77.6,-3.2,0
11/9/2013,21300088,PHI @ CLE,CLE,PHI,0.293,96.5,43.4,34.6,75.6,-4.7,0.415,93.2,44.4,36,72.9,-3.3,1
11/9/2013,21300086,ORL @ ATL,ATL,ORL,0.537,98,46.4,37.1,71.5,0.4,0.244,94.1,44.8,32.9,75.5,-7,1
11/9/2013,21300092,DAL @ MIL,MIL,DAL,0.463,98.9,43.5,36,73.6,-1.5,0.5,101.1,46.2,37.2,79.3,-0.6,0
11/9/2013,21300091,GSW @ MEM,MEM,GSW,0.683,93.4,44.4,34.5,77.3,4.1,0.573,101.2,45.8,40.3,79,0.9,1
11/9/2013,21300087,IND @ BKN,BKN,IND,0.598,96.9,45,35.7,73.1,1.8,0.605,94.7,43.6,34.7,74.6,4,0
11/9/2013,21300090,LAC @ HOU,HOU,LAC,0.549,106,46.1,36.6,75.4,3.5,0.683,101.1,47.8,35.8,71.1,6.5,0
11/9/2013,21300085,UTA @ TOR,TOR,UTA,0.415,97.2,44.6,34.3,78.8,-1.5,0.524,98,45.4,36.6,76.4,-0.1,1
11/9/2013,21300089,BOS @ MIA,MIA,BOS,0.805,102.9,49.6,39.6,75.4,7.9,0.506,96.5,46.5,35.8,77.6,-0.2,0
11/10/2013,21300094,SAS @ NYK,NYK,SAS,0.659,100,44.8,37.6,75.9,4.2,0.707,103,48.1,37.6,79.1,6.4,0
11/10/2013,21300097,MIN @ LAL,LAL,MIN,0.549,102.2,45.8,35.5,69.2,1.2,0.378,95.7,43.9,30.5,74.2,-2.4,0
11/10/2013,21300095,WAS @ OKC,OKC,WAS,0.732,105.7,48.1,37.7,82.8,9.2,0.354,93.2,43.5,36.5,73.3,-2.5,1
11/10/2013,21300096,NOP @ PHX,PHX,NOP,0.305,95.2,44.3,33,74.4,-6.5,0.329,94.1,44.8,36.3,77.6,-3.9,1
11/11/2013,21300098,ATL @ CHA,CHA,ATL,0.256,93.4,42.5,33.5,75,-9.2,0.537,98,46.4,37.1,71.5,0.4,0
11/11/2013,21300106,MIN @ LAC,LAC,MIN,0.683,101.1,47.8,35.8,71.1,6.5,0.378,95.7,43.9,30.5,74.2,-2.4,1
11/11/2013,21300105,DET @ POR,POR,DET,0.402,97.5,44.8,35.3,77.6,-3.2,0.354,94.9,44.9,35.6,69.9,-4,1
11/11/2013,21300101,ORL @ BOS,BOS,ORL,0.506,96.5,46.5,35.8,77.6,-0.2,0.244,94.1,44.8,32.9,75.5,-7,1
11/11/2013,21300099,MEM @ IND,IND,MEM,0.605,94.7,43.6,34.7,74.6,4,0.683,93.4,44.4,34.5,77.3,4.1,1
11/11/2013,21300102,CLE @ CHI,CHI,CLE,0.549,93.2,43.7,35.3,77.3,0.3,0.293,96.5,43.4,34.6,75.6,-4.7,1
11/11/2013,21300100,SAS @ PHI,PHI,SAS,0.415,93.2,44.4,36,72.9,-3.3,0.707,103,48.1,37.6,79.1,6.4,0
11/11/2013,21300104,DEN @ UTA,UTA,DEN,0.524,98,45.4,36.6,76.4,-0.1,0.695,106.1,47.8,34.3,70.1,5.1,0
11/11/2013,21300103,TOR @ HOU,HOU,TOR,0.549,106,46.1,36.6,75.4,3.5,0.415,97.2,44.6,34.3,78.8,-1.5,1
11/12/2013,21300109,DET @ GSW,GSW,DET,0.573,101.2,45.8,40.3,79,0.9,0.354,94.9,44.9,35.6,69.9,-4,1
11/12/2013,21300107,MIL @ MIA,MIA,MIL,0.805,102.9,49.6,39.6,75.4,7.9,0.463,98.9,43.5,36,73.6,-1.5,1
11/12/2013,21300108,WAS @ DAL,DAL,WAS,0.5,101.1,46.2,37.2,79.3,-0.6,0.354,93.2,43.5,36.5,73.3,-2.5,1
11/12/2013,21300110,NOP @ LAL,LAL,NOP,0.549,102.2,45.8,35.5,69.2,1.2,0.329,94.1,44.8,36.3,77.6,-3.9,1
11/13/2013,21300116,NYK @ ATL,ATL,NYK,0.537,98,46.4,37.1,71.5,0.4,0.659,100,44.8,37.6,75.9,4.2,0
11/13/2013,21300117,WAS @ SAS,SAS,WAS,0.707,103,48.1,37.6,79.1,6.4,0.354,93.2,43.5,36.5,73.3,-2.5,1
11/13/2013,21300115,CLE @ MIN,MIN,CLE,0.378,95.7,43.9,30.5,74.2,-2.4,0.293,96.5,43.4,34.6,75.6,-4.7,1
11/13/2013,21300114,TOR @ MEM,MEM,TOR,0.683,93.4,44.4,34.5,77.3,4.1,0.415,97.2,44.6,34.3,78.8,-1.5,0
11/13/2013,21300119,NOP @ UTA,UTA,NOP,0.524,98,45.4,36.6,76.4,-0.1,0.329,94.1,44.8,36.3,77.6,-3.9,1
11/13/2013,21300118,LAL @ DEN,DEN,LAL,0.695,106.1,47.8,34.3,70.1,5.1,0.549,102.2,45.8,35.5,69.2,1.2,1
11/13/2013,21300121,BKN @ SAC,SAC,BKN,0.341,100.2,44.7,36.3,76.9,-4.9,0.598,96.9,45,35.7,73.1,1.8,1
11/13/2013,21300112,HOU @ PHI,PHI,HOU,0.415,93.2,44.4,36,72.9,-3.3,0.549,106,46.1,36.6,75.4,3.5,1
11/13/2013,21300120,PHX @ POR,POR,PHX,0.402,97.5,44.8,35.3,77.6,-3.2,0.305,95.2,44.3,33,74.4,-6.5,1
11/13/2013,21300113,CHA @ BOS,BOS,CHA,0.506,96.5,46.5,35.8,77.6,-0.2,0.256,93.4,42.5,33.5,75,-9.2,0
11/13/2013,21300122,OKC @ LAC,LAC,OKC,0.683,101.1,47.8,35.8,71.1,6.5,0.732,105.7,48.1,37.7,82.8,9.2,1
11/13/2013,21300111,MIL @ ORL,ORL,MIL,0.244,94.1,44.8,32.9,75.5,-7,0.463,98.9,43.5,36,73.6,-1.5,1
11/14/2013,21300123,HOU @ NYK,NYK,HOU,0.659,100,44.8,37.6,75.9,4.2,0.549,106,46.1,36.6,75.4,3.5,0
11/14/2013,21300124,OKC @ GSW,GSW,OKC,0.573,101.2,45.8,40.3,79,0.9,0.732,105.7,48.1,37.7,82.8,9.2,1
11/15/2013,21300126,CHI @ TOR,TOR,CHI,0.415,97.2,44.6,34.3,78.8,-1.5,0.549,93.2,43.7,35.3,77.3,0.3,0
11/15/2013,21300125,MIL @ IND,IND,MIL,0.605,94.7,43.6,34.7,74.6,4,0.463,98.9,43.5,36,73.6,-1.5,1
11/15/2013,21300127,PHI @ ATL,ATL,PHI,0.537,98,46.4,37.1,71.5,0.4,0.415,93.2,44.4,36,72.9,-3.3,1
11/15/2013,21300133,SAS @ UTA,UTA,SAS,0.524,98,45.4,36.6,76.4,-0.1,0.707,103,48.1,37.6,79.1,6.4,0
11/15/2013,21300134,MEM @ LAL,LAL,MEM,0.549,102.2,45.8,35.5,69.2,1.2,0.683,93.4,44.4,34.5,77.3,4.1,0
11/15/2013,21300128,POR @ BOS,BOS,POR,0.506,96.5,46.5,35.8,77.6,-0.2,0.402,97.5,44.8,35.3,77.6,-3.2,0
11/15/2013,21300130,DAL @ MIA,MIA,DAL,0.805,102.9,49.6,39.6,75.4,7.9,0.5,101.1,46.2,37.2,79.3,-0.6,1
11/15/2013,21300131,MIN @ DEN,DEN,MIN,0.695,106.1,47.8,34.3,70.1,5.1,0.378,95.7,43.9,30.5,74.2,-2.4,1
11/15/2013,21300129,CHA @ CLE,CLE,CHA,0.293,96.5,43.4,34.6,75.6,-4.7,0.256,93.4,42.5,33.5,75,-9.2,0
11/15/2013,21300132,BKN @ PHX,PHX,BKN,0.305,95.2,44.3,33,74.4,-6.5,0.598,96.9,45,35.7,73.1,1.8,0
11/15/2013,21300135,DET @ SAC,SAC,DET,0.341,100.2,44.7,36.3,76.9,-4.9,0.354,94.9,44.9,35.6,69.9,-4,0
11/16/2013,21300136,MIA @ CHA,CHA,MIA,0.256,93.4,42.5,33.5,75,-9.2,0.805,102.9,49.6,39.6,75.4,7.9,0
11/16/2013,21300144,OKC @ MIL,MIL,OKC,0.463,98.9,43.5,36,73.6,-1.5,0.732,105.7,48.1,37.7,82.8,9.2,0
11/16/2013,21300146,BKN @ LAC,LAC,BKN,0.683,101.1,47.8,35.8,71.1,6.5,0.598,96.9,45,35.7,73.1,1.8,1
11/16/2013,21300137,DAL @ ORL,ORL,DAL,0.244,94.1,44.8,32.9,75.5,-7,0.5,101.1,46.2,37.2,79.3,-0.6,0
11/16/2013,21300143,PHI @ NOP,NOP,PHI,0.329,94.1,44.8,36.3,77.6,-3.9,0.415,93.2,44.4,36,72.9,-3.3,1
11/16/2013,21300138,CLE @ WAS,WAS,CLE,0.354,93.2,43.5,36.5,73.3,-2.5,0.293,96.5,43.4,34.6,75.6,-4.7,0
11/16/2013,21300139,ATL @ NYK,NYK,ATL,0.659,100,44.8,37.6,75.9,4.2,0.537,98,46.4,37.1,71.5,0.4,0
11/16/2013,21300140,IND @ CHI,CHI,IND,0.549,93.2,43.7,35.3,77.3,0.3,0.605,94.7,43.6,34.7,74.6,4,1
11/16/2013,21300142,BOS @ MIN,MIN,BOS,0.378,95.7,43.9,30.5,74.2,-2.4,0.506,96.5,46.5,35.8,77.6,-0.2,1
11/16/2013,21300145,UTA @ GSW,GSW,UTA,0.573,101.2,45.8,40.3,79,0.9,0.524,98,45.4,36.6,76.4,-0.1,1
11/16/2013,21300141,DEN @ HOU,HOU,DEN,0.549,106,46.1,36.6,75.4,3.5,0.695,106.1,47.8,34.3,70.1,5.1,1
11/17/2013,21300149,DET @ LAL,LAL,DET,0.549,102.2,45.8,35.5,69.2,1.2,0.354,94.9,44.9,35.6,69.9,-4,1
11/17/2013,21300148,MEM @ SAC,SAC,MEM,0.341,100.2,44.7,36.3,76.9,-4.9,0.683,93.4,44.4,34.5,77.3,4.1,0
11/17/2013,21300147,POR @ TOR,TOR,POR,0.415,97.2,44.6,34.3,78.8,-1.5,0.402,97.5,44.8,35.3,77.6,-3.2,0
11/18/2013,21300155,MEM @ LAC,LAC,MEM,0.683,101.1,47.8,35.8,71.1,6.5,0.683,93.4,44.4,34.5,77.3,4.1,0
