ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,AWAY_ATL,AWAY_BKN,AWAY_BOS,AWAY_CHA,AWAY_CHI,AWAY_CLE,AWAY_DAL,AWAY_DEN,AWAY_DET,AWAY_GSW,AWAY_HOU,AWAY_IND,AWAY_LAC,AWAY_LAL,AWAY_MEM,AWAY_MIA,AWAY_MIL,AWAY_MIN,AWAY_NOP,AWAY_NYK,AWAY_OKC,AWAY_ORL,AWAY_PHI,AWAY_PHX,AWAY_POR,AWAY_SAC,AWAY_SAS,AWAY_TOR,AWAY_UTA,AWAY_WAS,AWAY_RA_AST,AWAY_RA_BLK,AWAY_RA_DREB,AWAY_RA_FG3A,AWAY_RA_FG3M,AWAY_RA_FG3_PCT,AWAY_RA_FGA,AWAY_RA_FGM,AWAY_RA_FG_PCT,AWAY_RA_FTA,AWAY_RA_FTM,AWAY_RA_FT_PCT,AWAY_RA_OREB,AWAY_RA_PF,AWAY_RA_PLUS_MINUS,AWAY_RA_PTS,AWAY_RA_REB,AWAY_RA_STL,AWAY_RA_TOV,HOME_RA_AST,HOME_RA_BLK,HOME_RA_DREB,HOME_RA_FG3A,HOME_RA_FG3M,HOME_RA_FG3_PCT,HOME_RA_FGA,HOME_RA_FGM,HOME_RA_FG_PCT,HOME_RA_FTA,HOME_RA_FTM,HOME_RA_FT_PCT,HOME_RA_OREB,HOME_RA_PF,HOME_RA_PLUS_MINUS,HOME_RA_PTS,HOME_RA_REB,HOME_RA_STL,HOME_RA_TOV,HOME_WIN
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3763440860215054,0.3181818181818182,0.4565217391304346,0.36805555555555564,0.40983606557377056,0.4721030042918454,0.33834586466165417,0.4835164835164836,0.5580404685835996,0.22758620689655168,0.20000000000000007,0.5700408997955011,0.2571428571428571,0.0625,0.5188284518828453,0.39207048458149796,0.35460992907801403,0.5000000000000002,0.47368421052631576,0.34065934065934056,0.33999999999999997,0.7727272727272727,0.3557046979865771,0.3968253968253968,0.6348448687350835,0.43065693430656937,0.47777777777777786,0.48289345063538636,0.3865030674846626,0.3833333333333334,0.5621019108280256,0.5142857142857142,0.3866666666666667,0.8164794007490637,0.4429824561403508,0.6739130434782608,0.6206896551724137,0.6623376623376623,1.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4086021505376344,0.3863636363636363,0.8586956521739129,0.40277777777777785,0.49180327868852464,0.5965665236051502,0.4736842105263155,0.4725274725274726,0.44621938232161895,0.44137931034482775,0.3840000000000001,0.5378323108384457,0.5,0.4750000000000001,0.8451882845188285,0.5066079295154187,0.7375886524822695,0.48148148148148157,0.6578947368421053,0.39560439560439553,0.31999999999999995,0.5795454545454541,0.4161073825503355,0.34920634920634924,0.4289976133651551,0.3065693430656933,0.5111111111111115,0.6089931573802543,0.6809815950920246,0.5916666666666667,0.4665605095541403,0.3285714285714285,0.5066666666666668,0.7116104868913858,0.5657894736842104,0.4565217391304346,0.3103448275862069,0.36363636363636376,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4623655913978494,0.18181818181818182,0.7608695652173909,0.43055555555555564,0.557377049180328,0.6768853464132435,0.5639097744360901,0.5164835164835169,0.4270500532481365,0.296551724137931,0.256,0.5715746421267891,0.5142857142857143,0.5625,0.7949790794979081,0.48898678414096963,0.6808510638297873,0.5555555555555556,0.6052631578947367,0.41758241758241743,0.28,0.534090909090909,0.3825503355704698,0.42857142857142855,0.6390214797136037,0.5255474452554743,0.5222222222222221,0.4594330400782012,0.5889570552147241,0.6999999999999998,0.8179405520169851,0.5571428571428572,0.3866666666666667,0.5805243445692884,0.6535087719298247,0.543478260869565,0.15517241379310343,0.35064935064935066,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5161290322580644,0.15909090909090906,0.7173913043478259,0.43750000000000006,0.4754098360655738,0.4653586756591047,0.5939849624060152,0.5164835164835169,0.4014909478168267,0.28275862068965524,0.272,0.6799591002044987,0.5142857142857143,0.4750000000000001,0.7740585774058578,0.4757709251101323,0.6524822695035459,0.4444444444444445,0.4473684210526316,0.34065934065934056,0.060000000000000026,0.3181818181818179,0.2617449664429531,0.34920634920634924,0.7189737470167065,0.40875912408759074,0.5333333333333337,0.5630498533724337,0.30674846625766866,0.3583333333333333,0.7680467091295116,0.5142857142857142,0.4933333333333334,0.5093632958801498,0.4605263157894737,0.3840579710144927,0.20689655172413796,0.37662337662337664,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376344086021506,0.13636363636363635,0.5869565217391304,0.3958333333333334,0.45901639344262296,0.5107296137339056,0.4962406015037595,0.5824175824175826,0.5654952076677318,0.25517241379310346,0.28,0.7556237218813906,0.4571428571428572,0.38749999999999996,0.7154811715481173,0.5286343612334803,0.5390070921985817,0.4444444444444445,0.43421052631578955,0.5164835164835164,0.36,0.48863636363636354,0.4697986577181208,0.4761904761904761,0.5966587112171836,0.5912408759124084,0.7222222222222223,0.6383186705767352,0.09202453987730064,0.07500000000000007,0.5918259023354566,0.3142857142857143,0.14666666666666672,0.49812734082397003,0.4956140350877194,0.3913043478260869,0.44827586206896547,0.5194805194805197,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3870967741935484,0.20454545454545453,0.42391304347826075,0.388888888888889,0.4262295081967214,0.46413243408951554,0.4962406015037595,0.5384615384615388,0.5154419595314166,0.33103448275862074,0.368,0.8093047034764824,0.3857142857142857,0.42500000000000004,0.5313807531380754,0.5330396475770929,0.397163120567376,0.3888888888888889,0.3947368421052631,0.34065934065934056,0.6799999999999999,0.6136363636363633,0.26845637583892623,0.3174603174603174,0.6491646778042958,0.4817518248175179,0.7777777777777777,0.7693059628543499,0.3128834355828221,0.3750000000000001,0.7606157112526541,0.3999999999999999,0.5866666666666667,0.6704119850187267,0.6535087719298247,0.5144927536231882,0.3448275862068965,0.5324675324675325,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.3863636363636363,0.2282608695652173,0.4791666666666667,0.3934426229508197,0.2722256284488044,0.26315789473684204,0.4725274725274726,0.6208732694355699,0.33103448275862074,0.272,0.5260736196319018,0.20000000000000007,0.5,0.5439330543933055,0.41850220264317217,0.17730496453900702,0.6666666666666667,0.5394736842105263,0.3516483516483515,0.16000000000000006,0.40909090909090895,0.32885906040268464,0.3174603174603174,0.494033412887828,0.35036496350364965,0.5,0.5835777126099708,0.33128834355828224,0.3833333333333334,0.7627388535031847,0.3142857142857143,0.43999999999999995,0.50187265917603,0.43859649122807043,0.3405797101449275,0.4310344827586207,0.48051948051948057,0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.4090909090909091,0.6847826086956519,0.21527777777777785,0.18032786885245905,0.29368485591661553,0.5939849624060152,0.4835164835164836,0.356762513312034,0.37931034482758624,0.3440000000000001,0.62321063394683,0.3285714285714285,0.1499999999999999,0.5439330543933055,0.409691629955947,0.5390070921985817,0.25925925925925936,0.14473684210526322,0.2857142857142858,0.31999999999999995,0.46590909090909083,0.3221476510067114,0.30158730158730157,0.4773269689737468,0.2627737226277369,0.4666666666666668,0.6138807429130011,0.3803680981595093,0.41666666666666674,0.6979830148619959,0.27142857142857135,0.3466666666666669,0.5355805243445693,0.42543859649122795,0.35507246376811596,0.37931034482758624,0.4415584415584416,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23655913978494636,0.4318181818181818,0.4999999999999998,0.3194444444444445,0.26229508196721313,0.2568976088289392,0.6992481203007519,0.6703296703296702,0.5005324813631526,0.4827586206896553,0.30400000000000005,0.24846625766871155,0.7142857142857142,0.44999999999999996,0.4393305439330545,0.5594713656387666,0.6099290780141844,0.12962962962962965,0.4210526315789473,0.2197802197802199,0.31999999999999995,0.43181818181818166,0.32885906040268464,0.34920634920634924,0.5757756563245823,0.24087591240875872,0.4111111111111112,0.5708699902248291,0.4539877300613497,0.4833333333333333,0.6666666666666665,0.29999999999999993,0.3866666666666667,0.48314606741573035,0.4298245614035088,0.3478260869565215,0.3448275862068965,0.4285714285714287,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12903225806451613,0.3181818181818182,0.42391304347826075,0.27777777777777785,0.3442622950819672,0.49172286940527277,0.23308270676691745,0.32967032967033005,0.47177848775292874,0.46206896551724147,0.44000000000000006,0.6722903885480571,0.22857142857142854,0.38749999999999996,0.45606694560669464,0.3832599118942732,0.31914893617021267,0.3518518518518519,0.40789473684210525,0.4945054945054945,0.38,0.40909090909090895,0.4161073825503355,0.3333333333333333,0.41348448687350836,0.18978102189780977,0.6333333333333333,0.869012707722385,0.4110429447852761,0.42500000000000004,0.6395966029723992,0.15714285714285714,0.3600000000000001,0.6666666666666667,0.5701754385964912,0.26086956521739113,0.6379310344827587,0.4545454545454547,1.0
